centro,almacen,material,descripcion,lote,f_prod,stock,un,un_pallet,f_caja,cajas,pallets,camiones,bloqueado,control_calidad
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E10FJALH,10.05.2024,252,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E09FJALE,09.05.2024,248,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLD,09.01.2025,244,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLC,09.01.2025,240,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLE,09.01.2025,239,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A16FJALB,16.01.2025,235,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24G12FJNLE,12.07.2024,234,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A21FJNLA,21.01.2025,234,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F24FJNLD,24.06.2024,233,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25B01FJHLB,01.02.2025,229,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F25FJNLE,25.06.2024,227,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E25FJHLB,25.05.2024,226,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E23FJHLA,23.05.2024,224,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E10FJALG,10.05.2024,223,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E14FJHLC,14.05.2024,223,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A21FJNLD,21.01.2025,222,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A21FJNLF,21.01.2025,222,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F25FJNLD,25.06.2024,220,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F21FJNLB,21.06.2024,219,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F01FJNLA,01.06.2024,218,UN,3900,48,5,0.06,0.0,0,4224.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E10FJALF,10.05.2024,218,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A15FJALC,15.01.2025,218,UN,3900,48,5,0.06,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25A31FJHLH,31.01.2025,215,UN,3900,48,4,0.06,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E07FJALB,07.05.2024,211,UN,3900,48,4,0.05,0.0,0,0.0
